time,f_inst_Hz
3.1800,0.619250
3.1900,0.619625
3.2000,0.620000
3.2100,0.620375
3.2200,0.620750
3.2300,0.621125
3.2400,0.621500
3.2500,0.621875
3.2600,0.622250
3.2700,0.622625
3.2800,0.623000
3.2900,0.623375
3.3000,0.623750
3.3100,0.624125
3.3200,0.624500
3.3300,0.624875
3.3400,0.625250
3.3500,0.625625
3.3600,0.626000
3.3700,0.626375
3.3800,0.626750
3.3900,0.627125
3.4000,0.627500
3.4100,0.627875
3.4200,0.628250
3.4300,0.628625
3.4400,0.629000
3.4500,0.629375
3.4600,0.629750
3.4700,0.630125
3.4800,0.630500
3.4900,0.630875
3.5000,0.631250
3.5100,0.631625
3.5200,0.632000
3.5300,0.632375
3.5400,0.632750
3.5500,0.633125
3.5600,0.633500
3.5700,0.633875
3.5800,0.634250
3.5900,0.634625
3.6000,0.635000
3.6100,0.635375
3.6200,0.635750
3.6300,0.636125
3.6400,0.636500
3.6500,0.636875
3.6600,0.637250
3.6700,0.637625
3.6800,0.638000
3.6900,0.638375
3.7000,0.638750
3.7100,0.639125
3.7200,0.639500
3.7300,0.639875
3.7400,0.640250
3.7500,0.640625
3.7600,0.641000
3.7700,0.641375
3.7800,0.641750
3.7900,0.642125
3.8000,0.642500
3.8100,0.642875
3.8200,0.643250
3.8300,0.643625
3.8400,0.644000
3.8500,0.644375
3.8600,0.644750
3.8700,0.645125
3.8800,0.645500
3.8900,0.645875
3.9000,0.646250
3.9100,0.646625
3.9200,0.647000
3.9300,0.647375
3.9400,0.647750
3.9500,0.648125
3.9600,0.648500
3.9700,0.648875
3.9800,0.649250
3.9900,0.649625
4.0000,0.650000
4.0100,0.650375
4.0200,0.650750
4.0300,0.651125
4.0400,0.651500
4.0500,0.651875
4.0600,0.652250
4.0700,0.652625
4.0800,0.653000
4.0900,0.653375
4.1000,0.653750
4.1100,0.654125
4.1200,0.654500
4.1300,0.654875
4.1400,0.655250
4.1500,0.655625
4.1600,0.656000
4.1700,0.656375
4.1800,0.656750
4.1900,0.657125
4.2000,0.657500
4.2100,0.657875
4.2200,0.658250
4.2300,0.658625
4.2400,0.659000
4.2500,0.659375
4.2600,0.659750
4.2700,0.660125
4.2800,0.660500
4.2900,0.660875
4.3000,0.661250
4.3100,0.661625
4.3200,0.662000
4.3300,0.662375
4.3400,0.662750
4.3500,0.663125
4.3600,0.663500
