(
  (0.0000 ((0.00000000 0 0) (0 0 0) (0 0 0)))
  (0.0010 ((0.00000000 0 0) (0 0 0) (0 0 0)))
  (0.0020 ((0.00000003 0 0) (0 0 0) (0 0 0)))
  (0.0030 ((0.00000011 0 0) (0 0 0) (0 0 0)))
  (0.0040 ((0.00000027 0 0) (0 0 0) (0 0 0)))
  (0.0050 ((0.00000053 0 0) (0 0 0) (0 0 0)))
  (0.0060 ((0.00000091 0 0) (0 0 0) (0 0 0)))
  (0.0070 ((0.00000145 0 0) (0 0 0) (0 0 0)))
  (0.0080 ((0.00000216 0 0) (0 0 0) (0 0 0)))
  (0.0090 ((0.00000308 0 0) (0 0 0) (0 0 0)))
  (0.0100 ((0.00000423 0 0) (0 0 0) (0 0 0)))
  (0.0110 ((0.00000562 0 0) (0 0 0) (0 0 0)))
  (0.0120 ((0.00000730 0 0) (0 0 0) (0 0 0)))
  (0.0130 ((0.00000927 0 0) (0 0 0) (0 0 0)))
  (0.0140 ((0.00001158 0 0) (0 0 0) (0 0 0)))
  (0.0150 ((0.00001423 0 0) (0 0 0) (0 0 0)))
  (0.0160 ((0.00001726 0 0) (0 0 0) (0 0 0)))
  (0.0170 ((0.00002070 0 0) (0 0 0) (0 0 0)))
  (0.0180 ((0.00002456 0 0) (0 0 0) (0 0 0)))
  (0.0190 ((0.00002886 0 0) (0 0 0) (0 0 0)))
  (0.0200 ((0.00003364 0 0) (0 0 0) (0 0 0)))
  (0.0210 ((0.00003892 0 0) (0 0 0) (0 0 0)))
  (0.0220 ((0.00004472 0 0) (0 0 0) (0 0 0)))
  (0.0230 ((0.00005106 0 0) (0 0 0) (0 0 0)))
  (0.0240 ((0.00005797 0 0) (0 0 0) (0 0 0)))
  (0.0250 ((0.00006547 0 0) (0 0 0) (0 0 0)))
  (0.0260 ((0.00007358 0 0) (0 0 0) (0 0 0)))
  (0.0270 ((0.00008234 0 0) (0 0 0) (0 0 0)))
  (0.0280 ((0.00009175 0 0) (0 0 0) (0 0 0)))
  (0.0290 ((0.00010184 0 0) (0 0 0) (0 0 0)))
  (0.0300 ((0.00011263 0 0) (0 0 0) (0 0 0)))
  (0.0310 ((0.00012415 0 0) (0 0 0) (0 0 0)))
  (0.0320 ((0.00013642 0 0) (0 0 0) (0 0 0)))
  (0.0330 ((0.00014946 0 0) (0 0 0) (0 0 0)))
  (0.0340 ((0.00016329 0 0) (0 0 0) (0 0 0)))
  (0.0350 ((0.00017792 0 0) (0 0 0) (0 0 0)))
  (0.0360 ((0.00019339 0 0) (0 0 0) (0 0 0)))
  (0.0370 ((0.00020971 0 0) (0 0 0) (0 0 0)))
  (0.0380 ((0.00022691 0 0) (0 0 0) (0 0 0)))
  (0.0390 ((0.00024499 0 0) (0 0 0) (0 0 0)))
  (0.0400 ((0.00026399 0 0) (0 0 0) (0 0 0)))
  (0.0410 ((0.00028392 0 0) (0 0 0) (0 0 0)))
  (0.0420 ((0.00030479 0 0) (0 0 0) (0 0 0)))
  (0.0430 ((0.00032664 0 0) (0 0 0) (0 0 0)))
  (0.0440 ((0.00034947 0 0) (0 0 0) (0 0 0)))
  (0.0450 ((0.00037330 0 0) (0 0 0) (0 0 0)))
  (0.0460 ((0.00039816 0 0) (0 0 0) (0 0 0)))
  (0.0470 ((0.00042406 0 0) (0 0 0) (0 0 0)))
